name,price,mileage,transmission,range_km,fuel,city,road_accident,link
Mercedes-Benz C-Class 2023,41 500 $,16 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39625893.html
Renault Master 2018,21 650 $,258 тис. км,Ручна / Механіка,,Дизель,Дубно,Не був у ДТП,https://auto.ria.com/uk/auto_renault_master_39868385.html
Audi Q8 2019,43 500 $,146 тис. км,Автомат,,"Бензин, 3 л",Дніпро (Дніпропетровськ),Не був у ДТП,https://auto.ria.com/uk/auto_audi_q8_39954624.html
Mercedes-Benz Sprinter 2017,28 450 $,871 тис. км,Ручна / Механіка,,"Дизель, 2.14 л",Черкаси,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_38970145.html
BMW X3 2022,39 500 $,74 тис. км,Автомат,,"Бензин, 2 л",Одеса,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39917839.html
Новий Renault Trafic 2026,41 230 $,Без пробігу,Механічна,,"Дизель, 2 л",Кропивницький (Кіровоград),Не був у ДТП,https://auto.ria.com/uk/newauto/auto-renault-trafic-2045720.html
Toyota Land Cruiser 2021,69 226 $,68 тис. км,Автомат,,"Бензин, 3.45 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_land-cruiser_39928912.html
Volkswagen e-Golf 2016,8 999 $,140 тис. км,,150 км,Електро,Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_e-golf_39975978.html
BMW X7 2022,89 700 $,80 тис. км,Автомат,,"Бензин, 3 л",Дніпро (Дніпропетровськ),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_40029979.html
Skoda Octavia 2014,15 500 $,206 тис. км,Автомат,,"Бензин, 2 л",Харків,Не був у ДТП,https://auto.ria.com/uk/auto_skoda_octavia_40028865.html
Volkswagen Tiguan 2019,29 277 $,113 тис. км,Автомат,,"Дизель, 1.98 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_tiguan_40028208.html
Mercedes-Benz GLS-Class 2018,43 100 $,142 тис. км,Автомат,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_40011854.html
Land Rover Range Rover Sport 2015,24 200 $,180 тис. км,Автомат,,"Дизель, 2.99 л",Коломия,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_40001545.html
Новий Nissan Qashqai 2026,34 732 $,Без пробігу,Варіатор,,"Гібрид (MHEV), 1.3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/newauto/auto-nissan-qashqai-2051556.html
Mercedes-Benz S-Class 2020,77 777 $,88 тис. км,Автомат,,"Бензин, 3.98 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_s-class_38790698.html
Land Rover Range Rover Sport 2012,20 400 $,114 тис. км,Автомат,,"Бензин, 5 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_40031262.html
Renault Megane 2002,3 800 $,123 тис. км,Ручна / Механіка,,"Бензин, 1.4 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_renault_megane_39892295.html
BMW M5 2020,89 999 $,49 тис. км,Автомат,,"Бензин, 4.39 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_bmw_m5_38037030.html
BMW X7 2024,115 000 $,43 тис. км,Типтронік,,"Бензин, 3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39847533.html
Mercedes-Benz C-Class 2008,8 500 $,257 тис. км,Ручна / Механіка,,"Дизель, 2.2 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39922757.html
Audi e-tron 2019,27 500 $,132 тис. км,,400 км,"Електро, 95 кВт·год",Свалява,Не був у ДТП,https://auto.ria.com/uk/auto_audi_e-tron_39806716.html
Mercedes-Benz GLS-Class 2018,35 500 $,155 тис. км,Автомат,,"Бензин, 3 л",Житомир,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_39692429.html
Mercedes-Benz Vito 2019,33 500 $,233 тис. км,Автомат,,"Дизель, 1.95 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_vito_39813617.html
Kia Niro 2021,18 450 $,49 тис. км,,Не вказано,Електро,Мостиська,Був у ДТП,https://auto.ria.com/uk/auto_kia_niro_39882422.html
BMW 7 Series 2016,36 150 $,135 тис. км,Типтронік,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_7-series_39167313.html
